direction,direction_id,route_id,route_short_name
NORTH,0,39305,222
EAST,0,39307,245
EAST,0,40855,350
NORTH,0,44595,226
NORTH,0,44845,900
EAST,0,45596,080
EAST,0,46099,102
NORTH,0,46604,R6
EAST,0,48855,338
WEST,1,6612,002
SOUTH,1,6613,003
WEST,1,6614,004
WEST,1,6615,005
WEST,1,6616,006
WEST,1,6617,007
WEST,1,6618,008
WEST,1,6619,009
SOUTH,1,6620,010
SOUTH,1,6621,015
WEST,1,6622,016
SOUTH,1,6623,017
WEST,1,6624,019
SOUTH,1,6625,020
WEST,1,6626,022
WEST,1,6627,025
WEST,1,6628,026
SOUTH,1,6629,027
SOUTH,1,6630,028
SOUTH,1,6631,029
WEST,1,6633,041
WEST,1,6635,044
WEST,1,6636,049
SOUTH,1,6637,050
WEST,1,6638,084
WEST,1,6641,099
WEST,1,6642,100
WEST,1,6643,101
SOUTH,1,6644,104
WEST,1,6645,106
WEST,1,6646,110
WEST,1,6647,112
WEST,1,6648,116
WEST,1,6649,123
WEST,1,6650,129
SOUTH,1,6651,130
WEST,1,6652,134
WEST,1,6654,136
WEST,1,6656,143
SOUTH,1,6657,144
SOUTH,1,6658,145
WEST,1,6659,151
WEST,1,6660,152
WEST,1,6661,153
WEST,1,6662,128
WEST,1,6663,155
WEST,1,6664,156
WEST,1,6665,157
WEST,1,6666,159
WEST,1,6667,160
WEST,1,6668,169
SOUTH,1,6672,210
WEST,1,6673,211
WEST,1,6674,212
WEST,1,6675,214
SOUTH,1,6676,228
WEST,1,6677,229
SOUTH,1,6678,230
WEST,1,6679,232
SOUTH,1,6680,236
WEST,1,6682,240
SOUTH,1,6683,241
SOUTH,1,6685,246
SOUTH,1,6686,247
WEST,1,6687,250
WEST,1,6688,251
WEST,1,6689,252
WEST,1,6690,253
SOUTH,1,6691,254
WEST,1,6692,255
WEST,1,6693,257
WEST,1,6698,301
SOUTH,1,6699,311
SOUTH,1,6700,312
WEST,1,6701,314
SOUTH,1,6702,316
SOUTH,1,6703,319
WEST,1,6704,320
SOUTH,1,6705,321
SOUTH,1,6706,323
SOUTH,1,6707,324
SOUTH,1,6708,325
WEST,1,6709,326
SOUTH,1,6710,329
WEST,1,6712,335
WEST,1,6713,340
SOUTH,1,6714,345
SOUTH,1,6715,351
SOUTH,1,6716,352
SOUTH,1,6717,354
SOUTH,1,6718,391
SOUTH,1,6719,393
SOUTH,1,6720,394
WEST,1,6721,395
WEST,1,6722,401
SOUTH,1,6723,402
SOUTH,1,6724,403
WEST,1,6725,404
SOUTH,1,6726,405
SOUTH,1,6727,407
WEST,1,6728,410
WEST,1,6730,430
SOUTH,1,6737,501
WEST,1,6738,502
WEST,1,6739,509
SOUTH,1,6741,601
SOUTH,1,6742,602
SOUTH,1,6743,603
SOUTH,1,6744,604
WEST,1,6745,606
WEST,1,6746,608
SOUTH,1,6747,620
SOUTH,1,6748,640
WEST,1,6749,701
WEST,1,6753,848
WEST,1,6754,855
SOUTH,1,6755,861
SOUTH,1,6757,863
WEST,1,6761,880
WEST,1,6762,881
SOUTH,1,6763,890
WEST,1,6764,891
WEST,1,6765,892
WEST,1,6766,893
SOUTH,1,6767,894
WEST,1,6768,895
WEST,1,6770,997
SOUTH,1,6771,998
WEST,1,6776,131
WEST,1,6777,280
SOUTH,1,6778,281
SOUTH,1,6779,262
WEST,1,6780,215
WEST,1,6790,103
WEST,1,6796,105
WEST,1,6799,743
WEST,1,6800,744
WEST,1,6804,748
WEST,1,6805,749
WEST,1,6806,148
SOUTH,1,6811,146
SOUTH,1,6814,562
SOUTH,1,6815,563
WEST,1,6816,564
WEST,1,6817,147
WEST,1,6818,371
WEST,1,6819,373
WEST,1,6821,322
WEST,1,6822,310
WEST,1,6823,616
SOUTH,1,6825,618
WEST,1,6827,412
WEST,1,6828,413
WEST,1,6829,416
SOUTH,1,6830,N10
SOUTH,1,6831,N15
WEST,1,6833,N17
WEST,1,6834,N19
SOUTH,1,6835,N20
SOUTH,1,6836,N22
SOUTH,1,6837,N24
WEST,1,6838,N35
WEST,1,6840,N8
WEST,1,6841,N9
SOUTH,1,6843,614
SOUTH,1,6844,619
WEST,1,7224,791
SOUTH,1,7321,375
SOUTH,1,7322,132
SOUTH,1,7509,150
WEST,1,8286,370
WEST,1,8289,865
SOUTH,1,8290,341
SOUTH,1,9745,418
SOUTH,1,10232,256
WEST,1,11201,033
WEST,1,11202,042
WEST,1,11692,364
WEST,1,11693,388
SOUTH,1,11696,609
SOUTH,1,12940,595
WEST,1,13684,414
SOUTH,1,13686,980
WEST,1,16717,209
WEST,1,16718,014
SOUTH,1,16719,109
WEST,1,17707,337
WEST,1,18213,231
SOUTH,1,18705,531
WEST,1,20667,555
WEST,1,22638,188
SOUTH,1,22639,227
WEST,1,23384,503
WEST,1,29038,342
WEST,1,29039,864
SOUTH,1,29040,840
SOUTH,1,30036,170
WEST,1,30037,171
WEST,1,30038,172
WEST,1,30039,173
WEST,1,30040,174
WEST,1,30041,175
SOUTH,1,30042,179
